f1_macro	rel_confusion_matrix	model_info	feature_extractor_info	preprocessing_info	additional_info
0.639133006591178	"[[0.78301887 0.21698113]
 [0.48672566 0.51327434]]"	LogisticRegression(max_iter=1000)	TfidfVectorizer(), paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on SBERT	preprocessing: lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
0.649097655591162	"[[0.78301887 0.21698113]
 [0.46902655 0.53097345]]"	SVC(kernel='linear', probability=True)	TfidfVectorizer(), paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on SBERT	preprocessing: lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
0.488118426178418	"[[0.97169811 0.02830189]
 [0.82300885 0.17699115]]"	RandomForestClassifier()	TfidfVectorizer(), paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on SBERT	preprocessing: lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
0.52701980910801	"[[0.9245283  0.0754717 ]
 [0.75221239 0.24778761]]"	RandomForestClassifier()	TfidfVectorizer(), paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on SBERT	preprocessing: oversampling, lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
0.620212699274984	"[[0.68867925 0.31132075]
 [0.44247788 0.55752212]]"	SVC(kernel='linear', probability=True)	TfidfVectorizer(), paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on SBERT	preprocessing: oversampling, lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
0.649097655591162	"[[0.78301887 0.21698113]
 [0.46902655 0.53097345]]"	SVC(kernel='linear', probability=True)	TfidfVectorizer(), paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on SBERT	preprocessing: lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
0.61737236038912	"[[0.83962264 0.16037736]
 [0.56637168 0.43362832]]"	SVC(kernel='linear', probability=True)	TfidfVectorizer(), StandardScaler on tfidf, paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on SBERT	preprocessing: lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
0.61737236038912	"[[0.83962264 0.16037736]
 [0.56637168 0.43362832]]"	SVC(kernel='linear', probability=True)	TfidfVectorizer(), paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on both	preprocessing: lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
0.547852147852148	"[[0.8490566  0.1509434 ]
 [0.68141593 0.31858407]]"	SVC(kernel='linear', probability=True)	TfidfVectorizer(), paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on both, PCA(n_components=0.95)	preprocessing: lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
0.326153846153846	"[[1. 0.]
 [1. 0.]]"	RandomForestClassifier()	TfidfVectorizer(), paraphrase-multilingual-MiniLM-L12-v2, StandardScaler on both, PCA(n_components=0.95)	preprocessing: lowercase, replace quotes with <quote>, remove links and usernames, lemmatize, remove special characters except for ? and !, replace numbers with <num>	sample weights: 1.0 if solved_conflict else 0.8
