A new study created in memory with name: no-name-f0832815-ac66-4bf6-8a2c-0067d810c897
Trial 0 finished with value: 0.3261538461538462 and parameters: {'C': 0.00010175808759105401, 'solver': 'liblinear', 'chi2_k': 2003}. Best is trial 0 with value: 0.3261538461538462.
Trial 1 finished with value: 0.3951993805652342 and parameters: {'C': 0.005052042236727287, 'solver': 'lbfgs', 'chi2_k': 2294}. Best is trial 1 with value: 0.3951993805652342.
Trial 2 finished with value: 0.4998096688237533 and parameters: {'C': 0.009203971819685387, 'solver': 'liblinear', 'chi2_k': 1219}. Best is trial 2 with value: 0.4998096688237533.
Trial 3 finished with value: 0.3261538461538462 and parameters: {'C': 0.002299140602536527, 'solver': 'liblinear', 'chi2_k': 1215}. Best is trial 2 with value: 0.4998096688237533.
Trial 4 finished with value: 0.37117041173836307 and parameters: {'C': 0.004772139807248924, 'solver': 'liblinear', 'chi2_k': 1673}. Best is trial 2 with value: 0.4998096688237533.
Trial 5 finished with value: 0.6648778953988052 and parameters: {'C': 0.4544225169466774, 'solver': 'liblinear', 'chi2_k': 2746}. Best is trial 5 with value: 0.6648778953988052.
Trial 6 finished with value: 0.616397594175372 and parameters: {'C': 64.96268701426763, 'solver': 'liblinear', 'chi2_k': 2820}. Best is trial 5 with value: 0.6648778953988052.
Trial 7 finished with value: 0.3261538461538462 and parameters: {'C': 0.001157066324398902, 'solver': 'lbfgs', 'chi2_k': 2706}. Best is trial 5 with value: 0.6648778953988052.
Trial 8 finished with value: 0.3261538461538462 and parameters: {'C': 0.0007776763894091663, 'solver': 'liblinear', 'chi2_k': 2167}. Best is trial 5 with value: 0.6648778953988052.
Trial 9 finished with value: 0.3261538461538462 and parameters: {'C': 0.0016946737892541304, 'solver': 'lbfgs', 'chi2_k': 1782}. Best is trial 5 with value: 0.6648778953988052.
Trial 10 finished with value: 0.6454447972077962 and parameters: {'C': 2.4045530915253797, 'solver': 'lbfgs', 'chi2_k': 2973}. Best is trial 5 with value: 0.6648778953988052.
Trial 11 finished with value: 0.6503361344537815 and parameters: {'C': 2.241297117979697, 'solver': 'lbfgs', 'chi2_k': 2980}. Best is trial 5 with value: 0.6648778953988052.
Trial 12 finished with value: 0.6700703046534986 and parameters: {'C': 0.4201896361057135, 'solver': 'lbfgs', 'chi2_k': 2523}. Best is trial 12 with value: 0.6700703046534986.
Trial 13 finished with value: 0.6827885887020593 and parameters: {'C': 0.18186952928418718, 'solver': 'lbfgs', 'chi2_k': 2468}. Best is trial 13 with value: 0.6827885887020593.
Trial 14 finished with value: 0.6822817013939994 and parameters: {'C': 0.09789460680974005, 'solver': 'lbfgs', 'chi2_k': 2373}. Best is trial 13 with value: 0.6827885887020593.
Trial 15 finished with value: 0.6889797994785596 and parameters: {'C': 0.055545880199464485, 'solver': 'lbfgs', 'chi2_k': 2428}. Best is trial 15 with value: 0.6889797994785596.
