[I 2024-06-24 23:57:30,343] A new study created in memory with name: no-name-d7a964a8-caf7-418c-a13e-6fe94b8a5938
Trial 0 finished with value: 0.3261538461538462 and parameters: {'C': 0.0016118685050155554, 'kernel': 'sigmoid', 'degree': 4, 'gamma': 'auto', 'coef0': 4.261656031281857, 'chi2_k': 1120}. Best is trial 0 with value: 0.3261538461538462.
Trial 1 finished with value: 0.5961379485766369 and parameters: {'C': 111.26259976228356, 'kernel': 'linear', 'degree': 5, 'gamma': 'auto', 'coef0': 3.6947060104913776, 'chi2_k': 2409}. Best is trial 1 with value: 0.5961379485766369.
Trial 2 finished with value: 0.3261538461538462 and parameters: {'C': 3.4241850445938886, 'kernel': 'rbf', 'degree': 4, 'gamma': 'auto', 'coef0': 7.656048520073688, 'chi2_k': 2426}. Best is trial 1 with value: 0.5961379485766369.
Trial 3 finished with value: 0.3261538461538462 and parameters: {'C': 0.3987148601801086, 'kernel': 'poly', 'degree': 2, 'gamma': 'auto', 'coef0': 1.7546591556794988, 'chi2_k': 1916}. Best is trial 1 with value: 0.5961379485766369.
Trial 4 finished with value: 0.3261538461538462 and parameters: {'C': 0.3108499018108673, 'kernel': 'sigmoid', 'degree': 3, 'gamma': 'auto', 'coef0': 6.695837856320024, 'chi2_k': 1327}. Best is trial 1 with value: 0.5961379485766369.
Trial 5 finished with value: 0.4450967110709716 and parameters: {'C': 0.03107179388941242, 'kernel': 'poly', 'degree': 2, 'gamma': 'scale', 'coef0': 2.4781396007912115, 'chi2_k': 1274}. Best is trial 1 with value: 0.5961379485766369.
Trial 6 finished with value: 0.3261538461538462 and parameters: {'C': 0.0029016718046541404, 'kernel': 'poly', 'degree': 3, 'gamma': 'scale', 'coef0': 1.2002856568169207, 'chi2_k': 1263}. Best is trial 1 with value: 0.5961379485766369.
Trial 7 finished with value: 0.3261538461538462 and parameters: {'C': 0.7997825216959497, 'kernel': 'rbf', 'degree': 2, 'gamma': 'auto', 'coef0': 0.01681870234090277, 'chi2_k': 1427}. Best is trial 1 with value: 0.5961379485766369.
Trial 8 finished with value: 0.66209341117598 and parameters: {'C': 0.09373873842446394, 'kernel': 'linear', 'degree': 2, 'gamma': 'scale', 'coef0': 9.423060131577811, 'chi2_k': 2937}. Best is trial 8 with value: 0.66209341117598.
Trial 9 finished with value: 0.3261538461538462 and parameters: {'C': 0.001358190400694353, 'kernel': 'sigmoid', 'degree': 2, 'gamma': 'scale', 'coef0': 9.180877346529407, 'chi2_k': 1454}. Best is trial 8 with value: 0.66209341117598.
Trial 10 finished with value: 0.6281521853055235 and parameters: {'C': 945.9943137057812, 'kernel': 'linear', 'degree': 3, 'gamma': 'scale', 'coef0': 9.987830053163503, 'chi2_k': 2939}. Best is trial 8 with value: 0.66209341117598.
Trial 11 finished with value: 0.6184268530763901 and parameters: {'C': 989.001839986273, 'kernel': 'linear', 'degree': 3, 'gamma': 'scale', 'coef0': 9.498850664919482, 'chi2_k': 2965}. Best is trial 8 with value: 0.66209341117598.
Trial 12 finished with value: 0.6286192819009735 and parameters: {'C': 19.59169396671734, 'kernel': 'linear', 'degree': 3, 'gamma': 'scale', 'coef0': 6.917281394540614, 'chi2_k': 2986}. Best is trial 8 with value: 0.66209341117598.
Trial 13 finished with value: 0.5961379485766369 and parameters: {'C': 15.403533860696854, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 6.195124277463838, 'chi2_k': 2595}. Best is trial 8 with value: 0.66209341117598.
Trial 14 finished with value: 0.6846948356807512 and parameters: {'C': 0.04294007685111567, 'kernel': 'linear', 'degree': 2, 'gamma': 'scale', 'coef0': 7.915416870601207, 'chi2_k': 2695}. Best is trial 14 with value: 0.6846948356807512.
Trial 15 finished with value: 0.6595378151260505 and parameters: {'C': 0.02710764718030894, 'kernel': 'linear', 'degree': 2, 'gamma': 'scale', 'coef0': 8.259777957336457, 'chi2_k': 2684}. Best is trial 14 with value: 0.6846948356807512.
Trial 16 finished with value: 0.6801985981308412 and parameters: {'C': 0.05295514483816681, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 5.490328118409894, 'chi2_k': 2050}. Best is trial 14 with value: 0.6846948356807512.
Trial 17 finished with value: 0.6532437521396781 and parameters: {'C': 0.010261386450583972, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 5.422441252734707, 'chi2_k': 1869}. Best is trial 14 with value: 0.6846948356807512.
Trial 18 finished with value: 0.3261538461538462 and parameters: {'C': 0.08073768740400619, 'kernel': 'rbf', 'degree': 5, 'gamma': 'scale', 'coef0': 4.97808404111586, 'chi2_k': 2150}. Best is trial 14 with value: 0.6846948356807512.
Trial 19 finished with value: 0.5906177674915436 and parameters: {'C': 0.007913189028355035, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 8.446525593952956, 'chi2_k': 1634}. Best is trial 14 with value: 0.6846948356807512.
Trial 20 finished with value: 0.5806382978723404 and parameters: {'C': 3.331463152807615, 'kernel': 'linear', 'degree': 5, 'gamma': 'scale', 'coef0': 3.348023769071033, 'chi2_k': 2142}. Best is trial 14 with value: 0.6846948356807512.
Trial 21 finished with value: 0.6529608006672226 and parameters: {'C': 0.09792746056220389, 'kernel': 'linear', 'degree': 2, 'gamma': 'scale', 'coef0': 7.564258650293963, 'chi2_k': 2763}. Best is trial 14 with value: 0.6846948356807512.
Trial 22 finished with value: 0.6939618312649911 and parameters: {'C': 0.09542576307557292, 'kernel': 'linear', 'degree': 2, 'gamma': 'scale', 'coef0': 8.689716344060468, 'chi2_k': 2473}. Best is trial 22 with value: 0.6939618312649911.
Trial 23 finished with value: 0.6668920060841642 and parameters: {'C': 0.017021175953106277, 'kernel': 'linear', 'degree': 3, 'gamma': 'scale', 'coef0': 5.765714164688055, 'chi2_k': 2242}. Best is trial 22 with value: 0.6939618312649911.
Trial 24 finished with value: 0.6712260216847372 and parameters: {'C': 0.17732769535985196, 'kernel': 'linear', 'degree': 4, 'gamma': 'scale', 'coef0': 8.044209889238768, 'chi2_k': 2435}. Best is trial 22 with value: 0.6939618312649911.
Trial 25 finished with value: 0.6137566137566137 and parameters: {'C': 1.9914884828690174, 'kernel': 'linear', 'degree': 2, 'gamma': 'scale', 'coef0': 7.059070646745391, 'chi2_k': 2566}. Best is trial 22 with value: 0.6939618312649911.
Trial 26 finished with value: 0.3261538461538462 and parameters: {'C': 0.0057359171115998935, 'kernel': 'sigmoid', 'degree': 3, 'gamma': 'scale', 'coef0': 4.721582078886131, 'chi2_k': 1735}. Best is trial 22 with value: 0.6939618312649911.
Trial 27 finished with value: 0.5794238683127573 and parameters: {'C': 0.043669542794624074, 'kernel': 'poly', 'degree': 5, 'gamma': 'scale', 'coef0': 8.70204952765989, 'chi2_k': 2252}. Best is trial 22 with value: 0.6939618312649911.
Trial 28 finished with value: 0.6632685300250648 and parameters: {'C': 0.8527759443722722, 'kernel': 'rbf', 'degree': 2, 'gamma': 'scale', 'coef0': 5.871279566009365, 'chi2_k': 2016}. Best is trial 22 with value: 0.6939618312649911.
Trial 29 finished with value: 0.3261538461538462 and parameters: {'C': 0.24808603948965868, 'kernel': 'sigmoid', 'degree': 4, 'gamma': 'auto', 'coef0': 3.857944049911574, 'chi2_k': 2733}. Best is trial 22 with value: 0.6939618312649911.
